EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
8373,GNOGONS #8373,XGNOGONS-0a6d4c-20B5,70,95,89,95,90,90,Pure Red,Bone,Fear,Darkmode,Autumn,Dragonguard,Desert Storm,Flightsuit,Impenetrable,Pharoah,406.96,2325,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8373.png,
8374,GNOGONS #8374,XGNOGONS-0a6d4c-20B6,90,94,96,94,97,94,Black Charcoal,GNG,Decay,Guardian of Earth,Violet,Toxic,Blizzard,Chariot,None,Warrior,283,8895,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8374.png,
8375,GNOGONS #8375,XGNOGONS-0a6d4c-20B7,94,96,94,98,95,89,Black Charcoal,Plum,Spirit,Fire Blast,Dragonfruit,Oceanic,Desert Storm,Silver,None,Priest,353.15,4519,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8375.png,
8376,GNOGONS #8376,XGNOGONS-0a6d4c-20B8,96,95,92,93,92,91,Undriven Snow,Matte,Alloys,Lunar Landing,Autumn,Mountain,Steel Scales,Bones,Rise,Alpha,453,1334,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8376.png,
8377,GNOGONS #8377,XGNOGONS-0a6d4c-20B9,92,93,96,96,89,95,Twilight Zone,GNG,Alloys,Lockness,Gold,Diamond,Maiar Blue,Scarab,None,Ancient,393.06,2793,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8377.png,
8378,GNOGONS #8378,XGNOGONS-0a6d4c-20BA,100,96,93,96,92,91,Midnight Navy,GNG,Thunder,God of War,Violet,Diamond,Blizzard,Dusk,None,Alpha,1301.65,33,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8378.png,
8379,GNOGONS #8379,XGNOGONS-0a6d4c-20BB,80,90,97,90,93,95,Twilight Zone,Blush,Alloys,Death,Charcoal,Toxic,Marine,Dusk,None,Elder,294.83,8258,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8379.png,
8380,GNOGONS #8380,XGNOGONS-0a6d4c-20BC,92,91,99,92,94,97,Standard Issue,Aura,Plant,Guardian of Earth,Cerulean,Toxic,Marine,Plasma,None,Golden Sunset,432.93,1705,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8380.png,
8381,GNOGONS #8381,XGNOGONS-0a6d4c-20BD,85,97,96,89,92,91,Black Charcoal,Forrest,Plant,Destiny,Citrus,Mountain,Atlantis,Beauty,Seashell,Inferno,291.55,8445,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8381.png,
8382,GNOGONS #8382,XGNOGONS-0a6d4c-20BE,90,94,92,92,98,94,Black Charcoal,Matte,Moon,Death,Gold,Oceanic,Blizzard,Volt,Rise,Alien,388.38,2945,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8382.png,
8383,GNOGONS #8383,XGNOGONS-0a6d4c-20BF,60,96,96,97,96,96,Standard Issue,GNG,Sun,Diamond Hands,Violet,Dragonguard,Marine,Fine Wine,Crusader,Mystic,401.33,2499,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8383.png,
8384,GNOGONS #8384,XGNOGONS-0a6d4c-20C0,91,94,94,91,93,95,Standard Issue,Bananas,Spirit,Kobe,Sky,Toxic,Stealthmode,Photosynthesis,Seashell,Healer,282.75,8911,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8384.png,
8385,GNOGONS #8385,XGNOGONS-0a6d4c-20C1,91,98,90,95,92,95,Hot Pink,Blush,Thunder,Darkmode,Violet,Tough,Stealthmode,Plasma,None,Moonlight Rider,336.09,5535,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8385.png,
8386,GNOGONS #8386,XGNOGONS-0a6d4c-20C2,93,99,98,96,94,90,Midnight Navy,Bone,Ether,Cotton Candy,Violet,Oceanic,Desert Storm,Hazard,None,Moonlight Rider,349.14,4730,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8386.png,
8387,GNOGONS #8387,XGNOGONS-0a6d4c-20C3,98,94,99,91,94,92,Twilight Zone,Tiffany,Plant,Fire Blast,Sky,Tough,Stealthmode,Mist,MEX,Alpha,567.64,720,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8387.png,
8388,GNOGONS #8388,XGNOGONS-0a6d4c-20C4,95,92,95,99,92,91,Almond Skin,Deep Sea,Ice,Guardian of Earth,Offwhite,Mountain,Stealthmode,Moss,None,Protector,363,4009,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8388.png,
8389,GNOGONS #8389,XGNOGONS-0a6d4c-20C5,90,95,89,94,95,98,Twilight Zone,GNG,Fire,Death,Violet,Lagoon,Steel Scales,Moss,None,Stealth Mode,373.32,3530,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8389.png,
8390,GNOGONS #8390,XGNOGONS-0a6d4c-20C6,60,91,96,94,94,98,Almond Skin,Taupe,Ice,Cotton Candy,Violet,Oceanic,Plated,Moss,None,Uniswap Killer,327.54,6125,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8390.png,
8391,GNOGONS #8391,XGNOGONS-0a6d4c-20C7,91,90,95,98,94,94,Black Charcoal,Plum,Plant,Gnogons,Offwhite,Toxic,Atlantis,Bones,Crusader,Iridescent,306.53,7522,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8391.png,
8392,GNOGONS #8392,XGNOGONS-0a6d4c-20C8,80,95,96,94,96,93,Black Charcoal,Plum,Plant,Destiny,Emerald,Mountain,Plated,Silver,Seashell,Inferno,293.71,8313,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8392.png,
8393,GNOGONS #8393,XGNOGONS-0a6d4c-20C9,91,97,92,92,90,95,Hot Pink,Aura,Water,Cotton Candy,Violet,Diamond,Blizzard,Frost,Royal Armor,Super,303.18,7743,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8393.png,
8394,GNOGONS #8394,XGNOGONS-0a6d4c-20CA,96,92,95,98,89,96,Jet Black,Taupe,Sun,Kobe,Offwhite,Mountain,Steel Scales,Eco,None,Iridescent,358.66,4250,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8394.png,
8395,GNOGONS #8395,XGNOGONS-0a6d4c-20CB,97,95,96,99,96,98,Hot Pink,Bananas,Plant,Cotton Candy,Emerald,Lagoon,Marine,Mist,Blackbox,Warrior,425.54,1859,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8395.png,
8396,GNOGONS #8396,XGNOGONS-0a6d4c-20CC,91,94,94,94,97,96,Undriven Snow,Beluga,Ice,Blockchain,Offwhite,Diamond,Platinum,Hazard,Metal,Ancient,540.35,770,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8396.png,
8397,GNOGONS #8397,XGNOGONS-0a6d4c-20CD,85,94,98,93,93,98,Fast Furious,GNG,Thunder,Gnogons,Autumn,Oceanic,Cave,Rainbow,None,Super,340.76,5255,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8397.png,
8398,GNOGONS #8398,XGNOGONS-0a6d4c-20CE,60,94,90,91,92,91,Twilight Zone,Plum,Water,Guardian of Earth,Cerulean,Oceanic,Stealthmode,Silver,None,Iridescent,229.28,9998,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8398.png,
8399,GNOGONS #8399,XGNOGONS-0a6d4c-20CF,75,89,91,91,97,97,Pure Red,Cyber,Fire,Fire Blast,Citrus,Mountain,Stealthmode,Beauty,None,Destroyer,350.69,4655,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8399.png,
8400,GNOGONS #8400,XGNOGONS-0a6d4c-20D0,96,93,92,96,94,94,Jet Black,GNG,Water,Fire Blast,Violet,Tough,Atlantis,Jira,Royal Armor,Metaversed,368.96,3729,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8400.png,
8401,GNOGONS #8401,XGNOGONS-0a6d4c-20D1,96,92,93,95,99,98,Almond Skin,Bone,Fire,Diamond Hands,Autumn,Mountain,Mech Suit,Icicles,Seashell,Super,395.15,2714,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8401.png,
8402,GNOGONS #8402,XGNOGONS-0a6d4c-20D2,85,94,94,94,99,94,Almond Skin,Tiffany,Ice,Bubble Gum,Citrus,Lagoon,Marine,Hades,Rise,Uniswap Killer,356.69,4335,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8402.png,
8403,GNOGONS #8403,XGNOGONS-0a6d4c-20D3,70,94,94,95,91,90,Midnight Navy,Beluga,Ice,Gnogons,Autumn,Oceanic,Blizzard,Volt,Crusader,Scythe,283.41,8875,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8403.png,
8404,GNOGONS #8404,XGNOGONS-0a6d4c-20D4,85,94,94,97,92,91,Jet Black,GNG,Ice,Fire Blast,Offwhite,Dragonguard,Marine,Scarab,None,Victory Crown,266.27,9558,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8404.png,
8405,GNOGONS #8405,XGNOGONS-0a6d4c-20D5,85,99,99,94,91,95,Hot Pink,Taupe,Thunder,Bubble Gum,Sky,Oceanic,Platinum,Hazard,Rise,Shards of Darkness,402.9,2437,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8405.png,
8406,GNOGONS #8406,XGNOGONS-0a6d4c-20D6,80,94,95,94,94,92,Hot Pink,Cyber,Alloys,Lockness,Emerald,Dragonguard,Atlantis,Volt,None,Prism Frost,276.58,9173,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8406.png,
8407,GNOGONS #8407,XGNOGONS-0a6d4c-20D7,94,95,97,92,95,91,Almond Skin,Deep Sea,Alloys,Destiny,Emerald,Tough,Stealthmode,Bones,Seashell,Elder,333.94,5706,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8407.png,
8408,GNOGONS #8408,XGNOGONS-0a6d4c-20D8,80,94,93,96,94,97,Black Charcoal,Tiffany,Decay,Fire Blast,Charcoal,Toxic,Atlantis,Sacrifice,Blackbox,Mystic,348.94,4745,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8408.png,
8409,GNOGONS #8409,XGNOGONS-0a6d4c-20D9,95,99,93,92,95,96,Undriven Snow,Matte,Gnogen,Fire Blast,Cerulean,Tough,Platinum,Sacrifice,Seashell,Protector,415.92,2084,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8409.png,
8410,GNOGONS #8410,XGNOGONS-0a6d4c-20DA,95,97,91,92,97,94,Twilight Zone,GNG,Plant,Lunar Landing,Autumn,Toxic,Marine,Hades,None,Victory Crown,299.4,7992,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8410.png,
8411,GNOGONS #8411,XGNOGONS-0a6d4c-20DB,80,96,92,95,92,95,Jet Black,Aura,Moon,Lunar Landing,Dragonfruit,Diamond,Atlantis,Jira,Crusader,Mountaineer,353.33,4508,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8411.png,
8412,GNOGONS #8412,XGNOGONS-0a6d4c-20DC,80,94,94,93,93,96,Black Charcoal,Aura,Ice,Lunar Landing,Charcoal,Toxic,Steel Scales,Bones,None,Destroyer,315.26,6935,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8412.png,
8413,GNOGONS #8413,XGNOGONS-0a6d4c-20DD,90,97,99,93,90,92,Pure Red,Aura,Sun,God of War,Offwhite,Toxic,Blizzard,Blades,None,Uniswap Killer,327.74,6105,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8413.png,
8414,GNOGONS #8414,XGNOGONS-0a6d4c-20DE,85,91,98,96,94,97,Twilight Zone,Cyber,Ether,Lockness,Violet,Oceanic,Desert Storm,Hazard,None,Wisdom,340.32,5282,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8414.png,
8415,GNOGONS #8415,XGNOGONS-0a6d4c-20DF,92,92,94,95,91,96,Fast Furious,Bananas,Water,Cotton Candy,Cerulean,Oceanic,Blizzard,Dusk,Centurion,Protector,315.57,6916,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8415.png,
8416,GNOGONS #8416,XGNOGONS-0a6d4c-20E0,70,90,93,96,94,92,Jet Black,Plum,Decay,Rival,Dragonfruit,Toxic,Blizzard,Scarab,None,Healer,278.35,9107,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8416.png,
8417,GNOGONS #8417,XGNOGONS-0a6d4c-20E1,75,90,96,98,94,95,Gnogen Burst,Tiffany,Ether,Rival,Offwhite,Diamond,Desert Storm,Dusk,None,Moonlight Rider,362.74,4026,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8417.png,
8418,GNOGONS #8418,XGNOGONS-0a6d4c-20E2,91,98,94,94,96,96,Hot Pink,Blush,Alloys,Diamond Hands,Emerald,Oceanic,Marine,Razor,None,Victory Crown,310.77,7255,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8418.png,
8419,GNOGONS #8419,XGNOGONS-0a6d4c-20E3,94,99,94,97,89,93,Twilight Zone,Taupe,Thunder,Cotton Candy,Emerald,Dragonguard,Blizzard,Scarab,None,Metaversed,339.33,5340,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8419.png,
8420,GNOGONS #8420,XGNOGONS-0a6d4c-20E4,96,94,94,98,93,93,Twilight Zone,Aura,Fear,Lunar Landing,Dragonfruit,Dragonguard,Blizzard,Jet Blue,None,Shards of Darkness,384.8,3075,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8420.png,
8421,GNOGONS #8421,XGNOGONS-0a6d4c-20E5,97,95,97,95,98,90,Fast Furious,Bananas,Ice,Fire Blast,Charcoal,Mountain,Blizzard,Eco,Impenetrable,Priest,447.71,1415,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8421.png,
8422,GNOGONS #8422,XGNOGONS-0a6d4c-20E6,94,94,94,98,94,95,Fast Furious,Beluga,Sun,Death,Gold,Lagoon,Desert Storm,Silver,Rise,Joker,598.19,679,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8422.png,
8423,GNOGONS #8423,XGNOGONS-0a6d4c-20E7,70,90,94,98,92,92,Twilight Zone,Matte,Ether,Seaside,Charcoal,Toxic,Mech Suit,Sacrifice,Crusader,Protector,332.29,5810,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8423.png,
8424,GNOGONS #8424,XGNOGONS-0a6d4c-20E8,80,95,96,99,95,98,Twilight Zone,GNG,Plant,Kobe,Sky,Lagoon,Stealthmode,Silver,None,Mystic,420.9,1964,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8424.png,
8425,GNOGONS #8425,XGNOGONS-0a6d4c-20E9,91,94,97,94,92,98,Twilight Zone,Beluga,Sun,Cotton Candy,Cerulean,Toxic,Desert Storm,Hazard,None,Scythe,308.91,7386,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8425.png,
8426,GNOGONS #8426,XGNOGONS-0a6d4c-20EA,80,94,93,91,92,94,Undriven Snow,Bananas,Spirit,Death,Citrus,Toxic,Maiar Blue,Blades,None,Elder,298.4,8047,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8426.png,
8427,GNOGONS #8427,XGNOGONS-0a6d4c-20EB,96,90,94,94,93,90,Midnight Navy,Tiffany,Fire,God of War,Gold,Toxic,Blizzard,Moss,None,Iridescent,261.88,9670,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8427.png,
8428,GNOGONS #8428,XGNOGONS-0a6d4c-20EC,85,96,91,90,98,99,Midnight Navy,Matte,Sun,Gnogons,Violet,Mountain,Maiar Blue,Plasma,Impenetrable,Elder,443.2,1485,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8428.png,
8429,GNOGONS #8429,XGNOGONS-0a6d4c-20ED,85,93,96,94,94,94,Standard Issue,Beluga,Fear,Destiny,Charcoal,Oceanic,Blizzard,Plasma,MEX,Protector,310.95,7243,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8429.png,
8430,GNOGONS #8430,XGNOGONS-0a6d4c-20EE,97,91,93,92,95,97,Standard Issue,Taupe,Fear,24 Karat,Emerald,Tough,Platinum,Blades,Crusader,Inferno,348.07,4803,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8430.png,
8431,GNOGONS #8431,XGNOGONS-0a6d4c-20EF,97,98,91,97,93,94,Hot Pink,Blush,Time,Gnogons,Gold,Lagoon,Blizzard,Icicles,None,Moonlight Rider,387.6,2976,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8431.png,
8432,GNOGONS #8432,XGNOGONS-0a6d4c-20F0,91,96,97,94,99,94,Fast Furious,Tiffany,Fire,Cotton Candy,Offwhite,Oceanic,Steel Scales,Razor,Rise,Mystic,381.99,3183,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8432.png,
8433,GNOGONS #8433,XGNOGONS-0a6d4c-20F1,94,91,94,90,94,89,Twilight Zone,Beluga,Fear,Cotton Candy,Dragonfruit,Tough,Plated,Mist,None,Golden Sunset,385.72,3042,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8433.png,
8434,GNOGONS #8434,XGNOGONS-0a6d4c-20F2,75,94,99,95,94,89,Gnogen Burst,Plum,Ether,Bubble Gum,Violet,Mountain,Blizzard,Bones,Blackbox,Destroyer,436.45,1633,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8434.png,
8435,GNOGONS #8435,XGNOGONS-0a6d4c-20F3,80,99,94,92,98,89,Hot Pink,Tiffany,Plant,Darkmode,Emerald,Oceanic,Atlantis,Volt,None,Stealth Mode,401.81,2476,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8435.png,
8436,GNOGONS #8436,XGNOGONS-0a6d4c-20F4,85,90,95,100,99,99,Almond Skin,Tiffany,Sun,Blockchain,Citrus,Lagoon,Plated,Flightsuit,Crusader,Shards of Darkness,1235.9,52,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8436.png,
8437,GNOGONS #8437,XGNOGONS-0a6d4c-20F5,65,93,92,91,97,94,Midnight Navy,Aura,Moon,Kobe,Charcoal,Mountain,Mech Suit,Blades,None,Wisdom,283.99,8837,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8437.png,
8438,GNOGONS #8438,XGNOGONS-0a6d4c-20F6,85,95,96,93,97,94,Hot Pink,Aura,Moon,Lockness,Cerulean,Lagoon,Desert Storm,Silver,Blackbox,Super,295.32,8222,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8438.png,
8439,GNOGONS #8439,XGNOGONS-0a6d4c-20F7,80,94,94,94,94,97,Pure Red,Aura,Spirit,Gnogons,Charcoal,Toxic,Maiar Blue,Hazard,None,God of Thunder,291.8,8427,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8439.png,
8440,GNOGONS #8440,XGNOGONS-0a6d4c-20F8,99,96,97,89,93,94,Undriven Snow,Bone,Gnogen,Fire Blast,Cerulean,Oceanic,Steel Scales,Volt,None,Joker,645.17,650,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8440.png,
8441,GNOGONS #8441,XGNOGONS-0a6d4c-20F9,85,89,90,92,90,92,Jet Black,Plum,Spirit,Death,Violet,Diamond,Desert Storm,Scarab,Rise,Super,275.36,9229,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8441.png,
8442,GNOGONS #8442,XGNOGONS-0a6d4c-20FA,96,89,98,94,96,95,Almond Skin,Tiffany,Fear,Gnogons,Emerald,Toxic,Mech Suit,Scarab,None,Shards of Darkness,350.89,4642,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8442.png,
8443,GNOGONS #8443,XGNOGONS-0a6d4c-20FB,94,94,91,91,97,94,Twilight Zone,Beluga,Gnogen,Kobe,Emerald,Toxic,Marine,Plasma,Special Task Force,Mountaineer,335.58,5579,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8443.png,
8444,GNOGONS #8444,XGNOGONS-0a6d4c-20FC,95,94,97,91,92,94,Midnight Navy,Forrest,Fear,Kobe,Cerulean,Toxic,Steel Scales,Icicles,None,Metaversed,327.96,6093,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8444.png,
8445,GNOGONS #8445,XGNOGONS-0a6d4c-20FD,93,98,91,94,94,99,Midnight Navy,Matte,Ice,Cotton Candy,Sky,Oceanic,Blizzard,Razor,None,Wisdom,359.91,4184,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8445.png,
8446,GNOGONS #8446,XGNOGONS-0a6d4c-20FE,95,94,96,94,91,89,Almond Skin,GNG,Ether,Seaside,Cerulean,Tough,Desert Storm,Icicles,Rise,Super,307.65,7455,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8446.png,
8447,GNOGONS #8447,XGNOGONS-0a6d4c-20FF,80,97,90,92,96,94,Midnight Navy,Cyber,Ether,Lockness,Sky,Oceanic,Cave,Razor,Rise,Super,276.57,9174,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8447.png,
8448,GNOGONS #8448,XGNOGONS-0a6d4c-2100,90,94,94,91,93,93,Black Charcoal,Blush,Fire,Gnogons,Cerulean,Mountain,Stealthmode,Icicles,None,Healer,244.35,9947,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8448.png,
8449,GNOGONS #8449,XGNOGONS-0a6d4c-2101,96,93,89,92,97,96,Hot Pink,Bone,Water,Fire Blast,Autumn,Dragonguard,Atlantis,Plasma,None,Wisdom,328.08,6084,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8449.png,
8450,GNOGONS #8450,XGNOGONS-0a6d4c-2102,80,90,92,94,94,95,Twilight Zone,GNG,Thunder,Lockness,Emerald,Toxic,Plated,Fine Wine,None,Destroyer,363.83,3956,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8450.png,
8451,GNOGONS #8451,XGNOGONS-0a6d4c-2103,85,99,94,89,96,91,Black Charcoal,Tiffany,Thunder,Diamond Hands,Sky,Tough,Blizzard,Silver,Crusader,Inferno,316.08,6889,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8451.png,
8452,GNOGONS #8452,XGNOGONS-0a6d4c-2104,95,91,95,90,94,95,Pure Red,Bone,Fear,Kobe,Autumn,Toxic,Maiar Blue,Mist,None,Elder,324.81,6312,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8452.png,
8453,GNOGONS #8453,XGNOGONS-0a6d4c-2105,65,94,94,98,93,92,Gnogen Burst,Cyber,Gnogen,Lockness,Cerulean,Lagoon,Atlantis,Silver,None,Moonlight Rider,313.86,7028,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8453.png,
8454,GNOGONS #8454,XGNOGONS-0a6d4c-2106,85,94,97,94,91,91,Fast Furious,Tiffany,Fire,Death,Charcoal,Toxic,Desert Storm,Scarab,None,Elder,282.4,8931,https://ipfs.io/ipfs/QmXqBqGLcWMthf7xiwArXfKCTbZfQ7obY2BvByxvcM11mz/8454.png,
