EDITION,NAME,TOKEN,ATTRIBUTE:MODEL,ATTRIBUTE:RANK,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:ACCURACY,ATTRIBUTE:RAM,ATTRIBUTE:BACKGROUND,ATTRIBUTE:WEAPON,ATTRIBUTE:BODY,ATTRIBUTE:EXPRESSION,ATTRIBUTE:ARMOR,ATTRIBUTE:MASK,ATTRIBUTE:EYEWEAR,ATTRIBUTE:HEAD,ATTRIBUTE:NECKLACE,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
7699,ValidatorV2 #7699,XVTWO-fcc831-1E13,Alpha,NONE,75,87,94,91,94,99,Pearl,Laser Gun,OG,Angry,Roman,NONE,NONE,NONE,NONE,588.3453418,8020,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7699.png,
7700,ValidatorV2 #7700,XVTWO-fcc831-1E14,Alpha,NONE,69,93,100,97,93,91,Moss,AK47,OG,WTF,Cyber Criminal,NONE,NONE,NONE,NONE,597.1298811,6825,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7700.png,
7701,ValidatorV2 #7701,XVTWO-fcc831-1E15,Alpha,NONE,73,93,99,85,95,85,Sky Blue,Axe,OG,Bored,Soldier,Ghost,NONE,Cap,NONE,587.5895492,8119,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7701.png,
7702,ValidatorV2 #7702,XVTWO-fcc831-1E16,Alpha,NONE,88,91,86,97,100,85,Moss,Laser Gun,OG,Dead,Observer Squad,NONE,Heart Eyes,NONE,NONE,616.0056937,3918,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7702.png,
7703,ValidatorV2 #7703,XVTWO-fcc831-1E17,Alpha,NONE,87,92,88,92,94,86,Sky Blue,AK47,OG,Angry,Casual,NONE,NONE,Headband,NONE,594.5809537,7223,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7703.png,
7704,ValidatorV2 #7704,XVTWO-fcc831-1E18,Alpha,NONE,97,87,95,100,96,87,Dynamic,Laser Gun,OG,Dead,V2 Hoodie,NONE,NONE,Hockey,Dogtag,631.78644,1630,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7704.png,
7705,ValidatorV2 #7705,XVTWO-fcc831-1E19,Alpha,NONE,83,97,96,89,100,87,Moss,Katana,OG,Normal,Royal,Ghost,Night Out,Sailor,NONE,622.9042478,2822,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7705.png,
7706,ValidatorV2 #7706,XVTWO-fcc831-1E1A,Alpha,NONE,86,98,97,86,87,90,Moss,Laser Gun,OG,Dead,General,NONE,NONE,Racer,Cuban,605.7336827,5543,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7706.png,
7707,ValidatorV2 #7707,XVTWO-fcc831-1E1B,Alpha,NONE,93,95,94,86,88,91,Dynamic,Laser Gun,OG,Dead,Soldier,Halloween,NONE,Headband,NONE,613.033834,4391,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7707.png,
7708,ValidatorV2 #7708,XVTWO-fcc831-1E1C,Alpha,NONE,75,89,100,98,100,90,Gray,Great Sword,OG,Angry,V2 Hoodie,Goalie,NONE,Beanie,NONE,605.7152801,5549,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7708.png,
7709,ValidatorV2 #7709,XVTWO-fcc831-1E1D,Alpha,NONE,69,98,94,98,98,97,Gold,Axe,OG,Curious,Impaler,NONE,NONE,NONE,NONE,618.8092479,3447,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7709.png,
7710,ValidatorV2 #7710,XVTWO-fcc831-1E1E,Alpha,NONE,59,93,88,98,94,96,Moss,Hacker,OG,Angry,Meta,NONE,NONE,Halo,NONE,572.8861702,9426,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7710.png,
7711,ValidatorV2 #7711,XVTWO-fcc831-1E1F,Alpha,NONE,97,100,85,96,96,87,Moss,Standard Issue,OG,Normal,Boost Hoodie,Goalie,NONE,Headband,NONE,627.0366801,2206,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7711.png,
7712,ValidatorV2 #7712,XVTWO-fcc831-1E20,Alpha,NONE,73,87,90,91,96,98,Dynamic,Katana,OG,Relieved,Tech Hoodie,NONE,NONE,Sailor,NONE,589.3506691,7892,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7712.png,
7713,ValidatorV2 #7713,XVTWO-fcc831-1E21,Alpha,NONE,90,100,88,92,97,88,Pearl,Rocket Launcher,OG,Angry,Bomber Jacket,NONE,NONE,NONE,Cuban,617.4013328,3674,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7713.png,
7714,ValidatorV2 #7714,XVTWO-fcc831-1E22,Alpha,NONE,91,99,94,95,100,91,Moss,Katana,OG,Dead,Royal,NONE,NONE,Beanie,NONE,632.105381,1588,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7714.png,
7715,ValidatorV2 #7715,XVTWO-fcc831-1E23,Alpha,2,91,100,96,90,97,90,Moss,NONE,OG,Angry,Dojo,NONE,NONE,Racer,NONE,625.5718415,2412,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7715.png,
7716,ValidatorV2 #7716,XVTWO-fcc831-1E24,Alpha,NONE,82,94,86,97,93,93,Pearl,Hoverboard,OG,Disappointed,Soldier,Soundproof,NONE,Headband,NONE,608.718535,5065,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7716.png,
7717,ValidatorV2 #7717,XVTWO-fcc831-1E25,Alpha,NONE,80,91,86,88,99,91,Moss,Standard Issue,OG,Deadeye,V Day,Halloween,NONE,NONE,NONE,604.4121815,5766,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7717.png,
7718,ValidatorV2 #7718,XVTWO-fcc831-1E26,Alpha,NONE,69,86,91,96,98,99,Dynamic,Rocket Launcher,OG,Normal,Casual,NONE,NONE,Hockey,NONE,588.020833,8063,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7718.png,
7719,ValidatorV2 #7719,XVTWO-fcc831-1E27,Alpha,NONE,83,89,86,92,99,93,Sky Blue,Sword,OG,Normal,General,Soundproof,NONE,NONE,Cold Storage,609.1137476,5002,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7719.png,
7720,ValidatorV2 #7720,XVTWO-fcc831-1E28,Alpha,NONE,97,97,91,96,88,100,Pearl,Hoverboard,OG,Bored,Crossbody,NONE,NONE,Sailor,NONE,631.8219949,1628,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7720.png,
7721,ValidatorV2 #7721,XVTWO-fcc831-1E29,Alpha,NONE,61,99,100,98,92,92,Gray,NONE,OG,Normal,Exiled,NONE,NONE,NONE,NONE,582.523906,8670,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7721.png,
7722,ValidatorV2 #7722,XVTWO-fcc831-1E2A,Alpha,3,96,99,95,93,94,97,Gold,Rocket Launcher,OG,Angry,City Frequency,NONE,NONE,NONE,NONE,641.1821255,834,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7722.png,
7723,ValidatorV2 #7723,XVTWO-fcc831-1E2B,Alpha,NONE,94,92,85,97,96,91,Pearl,Laser Gun,OG,Normal,Vagabond,NONE,Nightvision,NONE,NONE,634.209071,1385,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7723.png,
7724,ValidatorV2 #7724,XVTWO-fcc831-1E2C,Alpha,NONE,84,90,90,92,86,91,Pearl,Hacker,OG,Deadeye,City Frequency,NONE,NONE,NONE,NONE,594.2551782,7268,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7724.png,
7725,ValidatorV2 #7725,XVTWO-fcc831-1E2D,Alpha,NONE,67,87,93,85,97,98,Dynamic,Drone,OG,Dead,Royal,NONE,NONE,Samurai,NONE,579.548024,8917,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7725.png,
7726,ValidatorV2 #7726,XVTWO-fcc831-1E2E,Alpha,NONE,69,98,87,99,91,96,Dynamic,Hoverboard,OG,Curious,Mage,NONE,NONE,NONE,NONE,607.862096,5212,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7726.png,
7727,ValidatorV2 #7727,XVTWO-fcc831-1E2F,Alpha,NONE,74,95,88,87,98,89,Dynamic,Hoverboard,OG,Dead,City Frequency,NONE,Scanner,NONE,NONE,587.9939789,8066,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7727.png,
7728,ValidatorV2 #7728,XVTWO-fcc831-1E30,Alpha,NONE,90,87,91,86,91,88,Gray,Robo Arms,OG,Normal,City Frequency,NONE,Aviators,Sailor,NONE,598.2017339,6686,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7728.png,
7729,ValidatorV2 #7729,XVTWO-fcc831-1E31,Alpha,NONE,80,85,100,99,98,96,Dynamic,NONE,OG,Angry,War Armor,NONE,NONE,NONE,NONE,615.9449887,3930,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7729.png,
7730,ValidatorV2 #7730,XVTWO-fcc831-1E32,Alpha,NONE,96,87,87,92,100,91,Moss,Great Sword,OG,Serious,Vagabond,NONE,NONE,NONE,NONE,627.0819923,2202,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7730.png,
7731,ValidatorV2 #7731,XVTWO-fcc831-1E33,Alpha,NONE,77,87,92,93,91,99,Sky Blue,Rocket Launcher,OG,Smirk,Leather Jacket,NONE,Snowboarder,NONE,Cold Storage,606.4467889,5428,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7731.png,
7732,ValidatorV2 #7732,XVTWO-fcc831-1E34,Alpha,NONE,100,99,89,91,88,89,Dynamic,AK47,OG,Serious,V2 Hoodie,Facemask,Night Out,NONE,NONE,635.4994779,1270,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7732.png,
7733,ValidatorV2 #7733,XVTWO-fcc831-1E35,Alpha,NONE,85,97,96,96,95,86,Gray,Sword,OG,Normal,Dojo,NONE,NONE,Samurai,NONE,607.933084,5195,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7733.png,
7734,ValidatorV2 #7734,XVTWO-fcc831-1E36,Alpha,NONE,83,100,92,85,87,91,Gray,AK47,OG,Relieved,Explorer,NONE,NONE,Cap,NONE,593.7963467,7325,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7734.png,
7735,ValidatorV2 #7735,XVTWO-fcc831-1E37,Alpha,NONE,83,90,93,85,94,92,Dynamic,Hoverboard,OG,Angry,Zero Dark,NONE,NONE,NONE,NONE,595.4941217,7090,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7735.png,
7736,ValidatorV2 #7736,XVTWO-fcc831-1E38,Alpha,NONE,71,87,88,97,89,88,Gray,Scythe,OG,Curious,Exiled,NONE,NONE,Headband,NONE,572.2249023,9459,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7736.png,
7737,ValidatorV2 #7737,XVTWO-fcc831-1E39,Alpha,NONE,86,90,98,86,97,98,Gold,Hacker,OG,Angry,Lowkey,NONE,NONE,NONE,Dogtag,618.6096864,3481,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7737.png,
7738,ValidatorV2 #7738,XVTWO-fcc831-1E3A,Alpha,NONE,82,99,94,91,88,100,Gold,Standard Issue,OG,Tears,Roman,NONE,NONE,Hockey,NONE,611.6056041,4622,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7738.png,
7739,ValidatorV2 #7739,XVTWO-fcc831-1E3B,Alpha,NONE,87,97,93,90,92,100,Sky Blue,Axe,OG,Angry,Dressed To Kill,Barbarian,NONE,NONE,NONE,620.3949941,3184,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7739.png,
7740,ValidatorV2 #7740,XVTWO-fcc831-1E3C,Alpha,NONE,93,97,92,92,95,87,Gray,Sniper Rifle,OG,Disappointed,Platinum,NONE,NONE,NONE,NONE,615.2292831,4037,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7740.png,
7741,ValidatorV2 #7741,XVTWO-fcc831-1E3D,Alpha,NONE,94,86,87,91,98,92,Moss,Bow & Arrow,OG,Normal,Lowkey,Halloween,NONE,Beanie,NONE,613.7188924,4288,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7741.png,
7742,ValidatorV2 #7742,XVTWO-fcc831-1E3E,Alpha,NONE,76,92,86,94,97,87,Dynamic,Great Sword,OG,Disappointed,Royal,NONE,NONE,Apocalypse,NONE,593.4445698,7377,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7742.png,
7743,ValidatorV2 #7743,XVTWO-fcc831-1E3F,Alpha,NONE,85,93,95,88,96,99,Dynamic,Katana,OG,Normal,Exiled,NONE,Snowboarder,Sailor,NONE,619.8879672,3269,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7743.png,
7744,ValidatorV2 #7744,XVTWO-fcc831-1E40,Alpha,NONE,96,95,94,98,95,97,Gold,Scythe,OG,Disappointed,Casual,NONE,Scientist,NONE,NONE,643.7040744,669,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7744.png,
7745,ValidatorV2 #7745,XVTWO-fcc831-1E41,Alpha,NONE,63,92,86,99,94,92,Gold,Bow & Arrow,OG,Angry,General,NONE,NONE,Crown,NONE,575.6636291,9218,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7745.png,
7746,ValidatorV2 #7746,XVTWO-fcc831-1E42,Alpha,NONE,94,87,87,97,100,100,Pearl,Hoverboard,OG,Smirk,Casual,NONE,NONE,Cap,NONE,627.0235981,2208,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7746.png,
7747,ValidatorV2 #7747,XVTWO-fcc831-1E43,Alpha,NONE,70,88,100,93,88,93,Gold,Great Sword,OG,Dead,Crossbody,NONE,NONE,Apocalypse,Multi Chain,589.5735338,7867,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7747.png,
7748,ValidatorV2 #7748,XVTWO-fcc831-1E44,Alpha,NONE,93,88,100,93,91,100,Dynamic,Scythe,OG,WTF,Observer Squad,NONE,NONE,Samurai,NONE,633.0473479,1498,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7748.png,
7749,ValidatorV2 #7749,XVTWO-fcc831-1E45,Alpha,NONE,96,90,86,99,91,93,Dynamic,Bow & Arrow,OG,Dead,Explorer,NONE,NONE,Hockey,NONE,617.674595,3625,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7749.png,
7750,ValidatorV2 #7750,XVTWO-fcc831-1E46,Alpha,NONE,87,88,89,92,100,100,Pearl,Standard Issue,OG,Normal,Royal,NONE,NONE,Horns,NONE,617.3311387,3686,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7750.png,
7751,ValidatorV2 #7751,XVTWO-fcc831-1E47,Alpha,NONE,78,92,87,97,96,88,Gray,Laser Gun,OG,Angry,Casual,NONE,NONE,NONE,NONE,586.1446956,8284,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7751.png,
7752,ValidatorV2 #7752,XVTWO-fcc831-1E48,Alpha,NONE,87,86,87,86,97,91,Pearl,Rocket Launcher,OG,Bored,Observer Squad,NONE,NONE,Beanie,NONE,591.6054988,7619,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7752.png,
7753,ValidatorV2 #7753,XVTWO-fcc831-1E49,Alpha,NONE,78,98,100,93,99,87,Gold,Katana,OG,LOL,Soldier,NONE,NONE,Cap,NONE,613.9135448,4250,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7753.png,
7754,ValidatorV2 #7754,XVTWO-fcc831-1E4A,Alpha,NONE,92,89,97,88,97,89,Gold,Hoverboard,OG,Normal,Platinum,NONE,NONE,Halo,NONE,612.1840776,4537,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7754.png,
7755,ValidatorV2 #7755,XVTWO-fcc831-1E4B,Alpha,NONE,84,87,86,95,99,95,Gray,Rocket Launcher,OG,Smirk,V2 Hoodie,NONE,NONE,Hockey,NONE,601.5162599,6201,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7755.png,
7756,ValidatorV2 #7756,XVTWO-fcc831-1E4C,Alpha,NONE,59,85,97,96,95,87,Pearl,Great Sword,OG,Bored,Dressed To Kill,NONE,Poet Glasses,NONE,NONE,565.0342858,9772,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7756.png,
7757,ValidatorV2 #7757,XVTWO-fcc831-1E4D,Alpha,NONE,94,90,98,94,86,100,Gold,Standard Issue,OG,Relieved,Soldier,NONE,NONE,Beanie,NONE,623.4958295,2725,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7757.png,
7758,ValidatorV2 #7758,XVTWO-fcc831-1E4E,Alpha,NONE,62,100,98,96,89,91,Gold,Sword,OG,Normal,V Day,NONE,NONE,Beanie,NONE,584.6170523,8451,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7758.png,
7759,ValidatorV2 #7759,XVTWO-fcc831-1E4F,Alpha,NONE,88,85,85,86,88,91,Sky Blue,Robo Arms,OG,Angry,Boost Hoodie,NONE,NONE,NONE,NONE,578.7935351,8979,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7759.png,
7760,ValidatorV2 #7760,XVTWO-fcc831-1E50,Alpha,NONE,93,85,99,95,85,89,Sky Blue,Great Sword,OG,Bored,Alpha,NONE,NONE,Sailor,NONE,612.690068,4446,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7760.png,
7761,ValidatorV2 #7761,XVTWO-fcc831-1E51,Alpha,NONE,85,97,97,92,94,87,Pearl,Scythe,OG,Dead,Royal,NONE,NONE,Cap,Timepiece,617.2120233,3712,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7761.png,
7762,ValidatorV2 #7762,XVTWO-fcc831-1E52,Alpha,NONE,90,96,86,93,88,97,Gray,Hoverboard,OG,Normal,Casual,Respirator,Aviators,NONE,Cuban,623.0554838,2802,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7762.png,
7763,ValidatorV2 #7763,XVTWO-fcc831-1E53,Alpha,NONE,79,88,97,87,97,85,Sky Blue,Standard Issue,OG,Smirk,Suit Ready,NONE,Aviators,Cap,NONE,598.0922887,6703,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7763.png,
7764,ValidatorV2 #7764,XVTWO-fcc831-1E54,Alpha,NONE,72,88,91,86,97,86,Gray,Sword,OG,Angry,Meta,NONE,NONE,Beanie,Multi Chain,573.0611671,9420,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7764.png,
7765,ValidatorV2 #7765,XVTWO-fcc831-1E55,Alpha,NONE,93,87,91,96,90,100,Pearl,Bow & Arrow,OG,Angry,Boost Hoodie,Goalie,NONE,Headband,NONE,622.6205329,2868,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7765.png,
7766,ValidatorV2 #7766,XVTWO-fcc831-1E56,Alpha,NONE,60,92,89,92,95,92,Moss,Stick,OG,Serious,General,NONE,Aviators,Beanie,NONE,575.1467142,9265,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7766.png,
7767,ValidatorV2 #7767,XVTWO-fcc831-1E57,Alpha,NONE,78,91,97,99,85,99,Moss,Standard Issue,OG,Dead,Boost Hoodie,NONE,NONE,NONE,NONE,598.3007228,6664,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7767.png,
7768,ValidatorV2 #7768,XVTWO-fcc831-1E58,Alpha,NONE,100,89,89,97,97,97,Sky Blue,Great Sword,OG,Angry,Tech Hoodie,NONE,NONE,NONE,NONE,632.2347257,1576,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7768.png,
7769,ValidatorV2 #7769,XVTWO-fcc831-1E59,Alpha,NONE,92,85,89,97,92,85,Gold,Bow & Arrow,OG,Disappointed,Casual,NONE,NONE,NONE,NONE,599.530637,6486,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7769.png,
7770,ValidatorV2 #7770,XVTWO-fcc831-1E5A,Alpha,NONE,75,95,96,99,90,97,Dynamic,Standard Issue,OG,Bored,Observer Squad,NONE,NONE,Halo,NONE,602.8278317,5998,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7770.png,
7771,ValidatorV2 #7771,XVTWO-fcc831-1E5B,Alpha,NONE,96,96,92,90,93,94,Gray,NONE,OG,Angry,V2 Hoodie,NONE,NONE,Sailor,Multi Chain,625.3773641,2441,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7771.png,
7772,ValidatorV2 #7772,XVTWO-fcc831-1E5C,Alpha,NONE,73,91,88,97,92,85,Sky Blue,Hoverboard,OG,Disappointed,Observer Squad,NONE,NONE,Samurai,NONE,576.5741688,9146,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7772.png,
7773,ValidatorV2 #7773,XVTWO-fcc831-1E5D,Alpha,NONE,88,98,99,94,95,89,Sky Blue,Dual Blade,OG,Smirk,War Armor,NONE,NONE,NONE,NONE,626.407982,2285,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7773.png,
7774,ValidatorV2 #7774,XVTWO-fcc831-1E5E,Alpha,NONE,88,90,99,88,97,91,Pearl,Great Sword,OG,Angry,V2 Hoodie,NONE,Night Out,Halo,Cuban,619.3980791,3360,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7774.png,
7775,ValidatorV2 #7775,XVTWO-fcc831-1E5F,Alpha,NONE,90,100,93,99,90,85,Moss,Laser Gun,OG,Angry,Observer Squad,NONE,NONE,Samurai,NONE,613.4248194,4329,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7775.png,
7776,ValidatorV2 #7776,XVTWO-fcc831-1E60,Alpha,NONE,100,86,95,100,85,85,Gray,Bow & Arrow,OG,Normal,Platinum,Halloween,NONE,NONE,NONE,618.1381031,3553,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7776.png,
7777,ValidatorV2 #7777,XVTWO-fcc831-1E61,Alpha,NONE,63,86,95,99,85,100,Sky Blue,Laser Gun,OG,Normal,Bomber Jacket,NONE,NONE,Halo,NONE,573.5429629,9389,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7777.png,
7778,ValidatorV2 #7778,XVTWO-fcc831-1E62,Alpha,NONE,91,90,85,99,99,94,Sky Blue,Hacker,OG,Curious,Roman,NONE,Scientist,NONE,NONE,625.1218851,2487,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7778.png,
